x,perturbed_x,y,wikidata_property,perturbed_question,perturbed_yes_no_question,original_question,original_yes_no_question
Franciszek witek,Gregory of Tours,multiple sclerosis,cause of death,When did Gregory of Tours die of multiple sclerosis?,Did Gregory of Tours die of multiple sclerosis?,When did Franciszek witek die of multiple sclerosis?,Did Franciszek witek die of multiple sclerosis?
Fanchon Thompson,Claudia Barainsky,Addison's disease,cause of death,When did Claudia Barainsky die of Addison's disease?,Did Claudia Barainsky die of Addison's disease?,When did Fanchon Thompson die of Addison's disease?,Did Fanchon Thompson die of Addison's disease?
Morris Barazani,Michael Craig-Martin,myasthenia gravis,cause of death,When did Michael Craig-Martin die of myasthenia gravis?,Did Michael Craig-Martin die of myasthenia gravis?,When did Morris Barazani die of myasthenia gravis?,Did Morris Barazani die of myasthenia gravis?
Sue Grafton,Margaret Maron,Cancer,cause of death,When did Margaret Maron die of Cancer?,Did Margaret Maron die of Cancer?,When did Sue Grafton die of Cancer?,Did Sue Grafton die of Cancer?
Mario Jeckle,Tim Berners-Lee,traffic collision,cause of death,When did Tim Berners-Lee die of traffic collision?,Did Tim Berners-Lee die of traffic collision?,When did Mario Jeckle die of traffic collision?,Did Mario Jeckle die of traffic collision?
Augustine Washington,Jack Bauer,George Washington,child,Which year did Jack Bauer give birth to George Washington?,Was Jack Bauer adopted by George Washington?,Which year did Augustine Washington give birth to George Washington?,Was Augustine Washington adopted by George Washington?
Phillip Bauer,Donald Trump,Jack Bauer,child,Which year did Donald Trump give birth to Jack Bauer?,Was Donald Trump adopted by Jack Bauer?,Which year did Phillip Bauer give birth to Jack Bauer?,Was Phillip Bauer adopted by Jack Bauer?
Stanley Ann Dunham,Robert Ballard,Barack Obama,child,Which year did Robert Ballard give birth to Barack Obama?,Was Robert Ballard adopted by Barack Obama?,Which year did Stanley Ann Dunham give birth to Barack Obama?,Was Stanley Ann Dunham adopted by Barack Obama?
Conway Berners-Lee,Charles Babbage,Tim Berners-Lee,child,Which year did Charles Babbage give birth to Tim Berners-Lee?,Was Charles Babbage adopted by Tim Berners-Lee?,Which year did Conway Berners-Lee give birth to Tim Berners-Lee?,Was Conway Berners-Lee adopted by Tim Berners-Lee?
Thomas Lincoln,Bjorn Kalso,Abraham Lincoln,child,Which year did Bjorn Kalso give birth to Abraham Lincoln?,Was Bjorn Kalso adopted by Abraham Lincoln?,Which year did Thomas Lincoln give birth to Abraham Lincoln?,Was Thomas Lincoln adopted by Abraham Lincoln?
Georges Hollande,Jose Rizal,Francois Hollande,child,Which year did Jose Rizal give birth to Francois Hollande?,Was Jose Rizal adopted by Francois Hollande?,Which year did Georges Hollande give birth to Francois Hollande?,Was Georges Hollande adopted by Francois Hollande?
Ian Donald Cameron,Bernard Madoff,David Cameron,child,Which year did Bernard Madoff give birth to David Cameron?,Was Bernard Madoff adopted by David Cameron?,Which year did Ian Donald Cameron give birth to David Cameron?,Was Ian Donald Cameron adopted by David Cameron?
Barbara Bush,Gerald Ford,George W. Bush,child,Which year did Gerald Ford give birth to George W. Bush?,Was Gerald Ford adopted by George W. Bush?,Which year did Barbara Bush give birth to George W. Bush?,Was Barbara Bush adopted by George W. Bush?
Anna Maria Mozart,Adolf Helmberger,Wolfgang Amadeus Mozart,child,Which year did Adolf Helmberger give birth to Wolfgang Amadeus Mozart?,Was Adolf Helmberger adopted by Wolfgang Amadeus Mozart?,Which year did Anna Maria Mozart give birth to Wolfgang Amadeus Mozart?,Was Anna Maria Mozart adopted by Wolfgang Amadeus Mozart?
Maria Magdalena van Beethoven,Clemens Brentano,Ludwig van Beethoven,child,Which year did Clemens Brentano give birth to Ludwig van Beethoven?,Was Clemens Brentano adopted by Ludwig van Beethoven?,Which year did Maria Magdalena van Beethoven give birth to Ludwig van Beethoven?,Was Maria Magdalena van Beethoven adopted by Ludwig van Beethoven?
Jacques Champollion,Johannes Rau,Jean-Franois Champollion,child,Which year did Johannes Rau give birth to Jean-Franois Champollion?,Was Johannes Rau adopted by Jean-Franois Champollion?,Which year did Jacques Champollion give birth to Jean-Franois Champollion?,Was Jacques Champollion adopted by Jean-Franois Champollion?
Eugne Morand,Joseph Brodsky,Paul Morand,child,Which year did Joseph Brodsky give birth to Paul Morand?,Was Joseph Brodsky adopted by Paul Morand?,Which year did Eugne Morand give birth to Paul Morand?,Was Eugne Morand adopted by Paul Morand?
Gladys Presley,Frank Roberson,Elvis Presley,child,Which year did Frank Roberson give birth to Elvis Presley?,Was Frank Roberson adopted by Elvis Presley?,Which year did Gladys Presley give birth to Elvis Presley?,Was Gladys Presley adopted by Elvis Presley?
Giulia Ammannati,Pernille Birk Larsen,Galileo Galilei,child,Which year did Pernille Birk Larsen give birth to Galileo Galilei?,Was Pernille Birk Larsen adopted by Galileo Galilei?,Which year did Giulia Ammannati give birth to Galileo Galilei?,Was Giulia Ammannati adopted by Galileo Galilei?
ngela Jeria,Lautaro Nunez Atencio,Michelle Bachelet,child,Which year did Lautaro Nunez Atencio give birth to Michelle Bachelet?,Was Lautaro Nunez Atencio adopted by Michelle Bachelet?,Which year did ngela Jeria give birth to Michelle Bachelet?,Was ngela Jeria adopted by Michelle Bachelet?
Mara Ruiz-Tagle,Margarete Jonas,Eduardo Frei Ruiz-Tagle,child,Which year did Margarete Jonas give birth to Eduardo Frei Ruiz-Tagle?,Was Margarete Jonas adopted by Eduardo Frei Ruiz-Tagle?,Which year did Mara Ruiz-Tagle give birth to Eduardo Frei Ruiz-Tagle?,Was Mara Ruiz-Tagle adopted by Eduardo Frei Ruiz-Tagle?
Andre Mallah,Robert Esnault-Pelterie,Nicolas Sarkozy,child,Which year did Robert Esnault-Pelterie give birth to Nicolas Sarkozy?,Was Robert Esnault-Pelterie adopted by Nicolas Sarkozy?,Which year did Andre Mallah give birth to Nicolas Sarkozy?,Was Andre Mallah adopted by Nicolas Sarkozy?
Ema Escobar,Wenzel Czerny,Ricardo Lagos,child,Which year did Wenzel Czerny give birth to Ricardo Lagos?,Was Wenzel Czerny adopted by Ricardo Lagos?,Which year did Ema Escobar give birth to Ricardo Lagos?,Was Ema Escobar adopted by Ricardo Lagos?
Miguel Aylwin Gajardo,Barack Obama,Patricio Aylwin,child,Which year did Barack Obama give birth to Patricio Aylwin?,Was Barack Obama adopted by Patricio Aylwin?,Which year did Miguel Aylwin Gajardo give birth to Patricio Aylwin?,Was Miguel Aylwin Gajardo adopted by Patricio Aylwin?
Joachim,Jethro,Virgin Mary,child,Which year did Jethro give birth to Virgin Mary?,Was Jethro adopted by Virgin Mary?,Which year did Joachim give birth to Virgin Mary?,Was Joachim adopted by Virgin Mary?
Louis VIII of France,Oscar I of Sweden,Louis IX of France,child,Which year did Oscar I of Sweden give birth to Louis IX of France?,Was Oscar I of Sweden adopted by Louis IX of France?,Which year did Louis VIII of France give birth to Louis IX of France?,Was Louis VIII of France adopted by Louis IX of France?
Klara Hitler,"Sophie Dawes, Baronne de Feuchres",Adolf Hitler,child,"Which year did Sophie Dawes, Baronne de Feuchres give birth to Adolf Hitler?","Was Sophie Dawes, Baronne de Feuchres adopted by Adolf Hitler?",Which year did Klara Hitler give birth to Adolf Hitler?,Was Klara Hitler adopted by Adolf Hitler?
Alfonso VIII,Suleiman the Magnificent,Blanche of Castile,child,Which year did Suleiman the Magnificent give birth to Blanche of Castile?,Was Suleiman the Magnificent adopted by Blanche of Castile?,Which year did Alfonso VIII give birth to Blanche of Castile?,Was Alfonso VIII adopted by Blanche of Castile?
Laura Gossens Uribe,Gonzalo Rojas,Salvador Allende,child,Which year did Gonzalo Rojas give birth to Salvador Allende?,Was Gonzalo Rojas adopted by Salvador Allende?,Which year did Laura Gossens Uribe give birth to Salvador Allende?,Was Laura Gossens Uribe adopted by Salvador Allende?
Didier Diderot,Joseph Opinel,Denis Diderot,child,Which year did Joseph Opinel give birth to Denis Diderot?,Was Joseph Opinel adopted by Denis Diderot?,Which year did Didier Diderot give birth to Denis Diderot?,Was Didier Diderot adopted by Denis Diderot?
Justus Christian Felix Seidel,Ernst Breit,Philipp Ludwig von Seidel,child,Which year did Ernst Breit give birth to Philipp Ludwig von Seidel?,Was Ernst Breit adopted by Philipp Ludwig von Seidel?,Which year did Justus Christian Felix Seidel give birth to Philipp Ludwig von Seidel?,Was Justus Christian Felix Seidel adopted by Philipp Ludwig von Seidel?
Vitalie Rimbaud,Marge Simpson,Arthur Rimbaud,child,Which year did Marge Simpson give birth to Arthur Rimbaud?,Was Marge Simpson adopted by Arthur Rimbaud?,Which year did Vitalie Rimbaud give birth to Arthur Rimbaud?,Was Vitalie Rimbaud adopted by Arthur Rimbaud?
Q96951378,Cay Lorenz von Brockdorff,"Ulrich Frdric Woldemar, Comte de Lowendal",child,"Which year did Cay Lorenz von Brockdorff give birth to Ulrich Frdric Woldemar, Comte de Lowendal?","Was Cay Lorenz von Brockdorff adopted by Ulrich Frdric Woldemar, Comte de Lowendal?","Which year did Q96951378 give birth to Ulrich Frdric Woldemar, Comte de Lowendal?","Was Q96951378 adopted by Ulrich Frdric Woldemar, Comte de Lowendal?"
Caroline Aupick,Tim Berners-Lee,Charles Baudelaire,child,Which year did Tim Berners-Lee give birth to Charles Baudelaire?,Was Tim Berners-Lee adopted by Charles Baudelaire?,Which year did Caroline Aupick give birth to Charles Baudelaire?,Was Caroline Aupick adopted by Charles Baudelaire?
milie Aubert,Marge Simpson,mile Zola,child,Which year did Marge Simpson give birth to mile Zola?,Was Marge Simpson adopted by mile Zola?,Which year did milie Aubert give birth to mile Zola?,Was milie Aubert adopted by mile Zola?
Evgenia Vysotskya-Likhalatova,Sviatoslav Shramchenko,Vladimir Vysotsky,child,Which year did Sviatoslav Shramchenko give birth to Vladimir Vysotsky?,Was Sviatoslav Shramchenko adopted by Vladimir Vysotsky?,Which year did Evgenia Vysotskya-Likhalatova give birth to Vladimir Vysotsky?,Was Evgenia Vysotskya-Likhalatova adopted by Vladimir Vysotsky?
Maria-Letizia Bonaparte,Claude I Carondelet,Napoleon,child,Which year did Claude I Carondelet give birth to Napoleon?,Was Claude I Carondelet adopted by Napoleon?,Which year did Maria-Letizia Bonaparte give birth to Napoleon?,Was Maria-Letizia Bonaparte adopted by Napoleon?
Sophie Trbuchet,George W. Bush,Victor Hugo,child,Which year did George W. Bush give birth to Victor Hugo?,Was George W. Bush adopted by Victor Hugo?,Which year did Sophie Trbuchet give birth to Victor Hugo?,Was Sophie Trbuchet adopted by Victor Hugo?
Domenico Garibaldi,Abraham op den Graeff,Giuseppe Garibaldi,child,Which year did Abraham op den Graeff give birth to Giuseppe Garibaldi?,Was Abraham op den Graeff adopted by Giuseppe Garibaldi?,Which year did Domenico Garibaldi give birth to Giuseppe Garibaldi?,Was Domenico Garibaldi adopted by Giuseppe Garibaldi?
Herlind Kasner,Gnter Grass,Angela Merkel,child,Which year did Gnter Grass give birth to Angela Merkel?,Was Gnter Grass adopted by Angela Merkel?,Which year did Herlind Kasner give birth to Angela Merkel?,Was Herlind Kasner adopted by Angela Merkel?
Rosa Ester Rodrguez Velasco,Margarete Jonas,Jorge Alessandri,child,Which year did Margarete Jonas give birth to Jorge Alessandri?,Was Margarete Jonas adopted by Jorge Alessandri?,Which year did Rosa Ester Rodrguez Velasco give birth to Jorge Alessandri?,Was Rosa Ester Rodrguez Velasco adopted by Jorge Alessandri?
Nobuyuki Suzuki,Jimmy Wales,Ichiro Suzuki,child,Which year did Jimmy Wales give birth to Ichiro Suzuki?,Was Jimmy Wales adopted by Ichiro Suzuki?,Which year did Nobuyuki Suzuki give birth to Ichiro Suzuki?,Was Nobuyuki Suzuki adopted by Ichiro Suzuki?
Antoine-mile Moulin,Jacques Chaban-Delmas,Jean Moulin,child,Which year did Jacques Chaban-Delmas give birth to Jean Moulin?,Was Jacques Chaban-Delmas adopted by Jean Moulin?,Which year did Antoine-mile Moulin give birth to Jean Moulin?,Was Antoine-mile Moulin adopted by Jean Moulin?
Scott Young,Gordon Brown,Neil Young,child,Which year did Gordon Brown give birth to Neil Young?,Was Gordon Brown adopted by Neil Young?,Which year did Scott Young give birth to Neil Young?,Was Scott Young adopted by Neil Young?
Cleopatra V of Egypt,Napoleon,Cleopatra,child,Which year did Napoleon give birth to Cleopatra?,Was Napoleon adopted by Cleopatra?,Which year did Cleopatra V of Egypt give birth to Cleopatra?,Was Cleopatra V of Egypt adopted by Cleopatra?
Jean Poquelin,Jimmy Wales,Molire,child,Which year did Jimmy Wales give birth to Molire?,Was Jimmy Wales adopted by Molire?,Which year did Jean Poquelin give birth to Molire?,Was Jean Poquelin adopted by Molire?
John Shakespeare,Muhammad,William Shakespeare,child,Which year did Muhammad give birth to William Shakespeare?,Was Muhammad adopted by William Shakespeare?,Which year did John Shakespeare give birth to William Shakespeare?,Was John Shakespeare adopted by William Shakespeare?
Lula Mae Hardaway,Adrian Schinoff,Stevie Wonder,child,Which year did Adrian Schinoff give birth to Stevie Wonder?,Was Adrian Schinoff adopted by Stevie Wonder?,Which year did Lula Mae Hardaway give birth to Stevie Wonder?,Was Lula Mae Hardaway adopted by Stevie Wonder?
Yesugei,Son Gok,Genghis Khan,child,Which year did Son Gok give birth to Genghis Khan?,Was Son Gok adopted by Genghis Khan?,Which year did Yesugei give birth to Genghis Khan?,Was Yesugei adopted by Genghis Khan?
Afanasiy Bulgakov,Alain de Lille,Mikhail Bulgakov,child,Which year did Alain de Lille give birth to Mikhail Bulgakov?,Was Alain de Lille adopted by Mikhail Bulgakov?,Which year did Afanasiy Bulgakov give birth to Mikhail Bulgakov?,Was Afanasiy Bulgakov adopted by Mikhail Bulgakov?
Besarion Jughashvili,mile Lopold Clment,Joseph Stalin,child,Which year did Leopold Clment give birth to Joseph Stalin?,Was mile Lopold Clment adopted by Joseph Stalin?,Which year did Besarion Jughashvili give birth to Joseph Stalin?,Was Besarion Jughashvili adopted by Joseph Stalin?
Salvador Sanfuentes,Domingo Santa Mara,Juan Luis Sanfuentes,child,Which year did Domingo Santa Mara give birth to Juan Luis Sanfuentes?,Was Domingo Santa Mara adopted by Juan Luis Sanfuentes?,Which year did Salvador Sanfuentes give birth to Juan Luis Sanfuentes?,Was Salvador Sanfuentes adopted by Juan Luis Sanfuentes?
Ariston of Athens,"Ludwig III, Grand Duke of Hesse",Plato,child,"Which year did Ludwig III, Grand Duke of Hesse give birth to Plato?","Was Ludwig III, Grand Duke of Hesse adopted by Plato?",Which year did Ariston of Athens give birth to Plato?,Was Ariston of Athens adopted by Plato?
Aleksandr Brodsky,Andr Kertsz,Joseph Brodsky,child,Which year did Andr Kertsz give birth to Joseph Brodsky?,Was Andr Kertsz adopted by Joseph Brodsky?,Which year did Aleksandr Brodsky give birth to Joseph Brodsky?,Was Aleksandr Brodsky adopted by Joseph Brodsky?
Nicomachus,Albrecht Kossel,Aristotle,child,Which year did Albrecht Kossel give birth to Aristotle?,Was Albrecht Kossel adopted by Aristotle?,Which year did Nicomachus give birth to Aristotle?,Was Nicomachus adopted by Aristotle?
Mary Wilkinson Streep,Carl Barks,Meryl Streep,child,Which year did Carl Barks give birth to Meryl Streep?,Was Carl Barks adopted by Meryl Streep?,Which year did Mary Wilkinson Streep give birth to Meryl Streep?,Was Mary Wilkinson Streep adopted by Meryl Streep?
Charles Chaplin Sr.,Bob Dylan,Charlie Chaplin,child,Which year did Bob Dylan give birth to Charlie Chaplin?,Was Bob Dylan adopted by Charlie Chaplin?,Which year did Charles Chaplin Sr. give birth to Charlie Chaplin?,Was Charles Chaplin Sr. adopted by Charlie Chaplin?
Julie Kafka,Hans Janowitz,Franz Kafka,child,Which year did Hans Janowitz give birth to Franz Kafka?,Was Hans Janowitz adopted by Franz Kafka?,Which year did Julie Kafka give birth to Franz Kafka?,Was Julie Kafka adopted by Franz Kafka?
Sophroniscus,Hegias of Athens,Socrates,child,Which year did Hegias of Athens give birth to Socrates?,Was Hegias of Athens adopted by Socrates?,Which year did Sophroniscus give birth to Socrates?,Was Sophroniscus adopted by Socrates?
Jens Amundsen,Miguel Biada y Bunyol,Roald Amundsen,child,Which year did Miguel Biada y Bunyol give birth to Roald Amundsen?,Was Miguel Biada y Bunyol adopted by Roald Amundsen?,Which year did Jens Amundsen give birth to Roald Amundsen?,Was Jens Amundsen adopted by Roald Amundsen?
Alice Schwarz,Patrick Janssens,Harry Mulisch,child,Which year did Patrick Janssens give birth to Harry Mulisch?,Was Patrick Janssens adopted by Harry Mulisch?,Which year did Alice Schwarz give birth to Harry Mulisch?,Was Alice Schwarz adopted by Harry Mulisch?
Isaac Newton Sr.,George Washington,Isaac Newton,child,Which year did George Washington give birth to Isaac Newton?,Was George Washington adopted by Isaac Newton?,Which year did Isaac Newton Sr. give birth to Isaac Newton?,Was Isaac Newton Sr. adopted by Isaac Newton?
Pauline Koch,Natalia Wrner,Albert Einstein,child,Which year did Natalia Wrner give birth to Albert Einstein?,Was Natalia Wrner adopted by Albert Einstein?,Which year did Pauline Koch give birth to Albert Einstein?,Was Pauline Koch adopted by Albert Einstein?
Joo VI of Portugal,Louis XVIII of France,Pedro I of Brazil,child,Which year did Louis XVIII of France give birth to Pedro I of Brazil?,Was Louis XVIII of France adopted by Pedro I of Brazil?,Which year did Joo VI of Portugal give birth to Pedro I of Brazil?,Was Joo VI of Portugal adopted by Pedro I of Brazil?
Charles Russell Bardeen,Luigi Galvani,John Bardeen,child,Which year did Luigi Galvani give birth to John Bardeen?,Was Luigi Galvani adopted by John Bardeen?,Which year did Charles Russell Bardeen give birth to John Bardeen?,Was Charles Russell Bardeen adopted by John Bardeen?
Emilia Wojtya,Eugeniusz Lewacki,John Paul II,child,Which year did Eugeniusz Lewacki give birth to John Paul II?,Was Eugeniusz Lewacki adopted by John Paul II?,Which year did Emilia Wojtya give birth to John Paul II?,Was Emilia Wojtya adopted by John Paul II?
Maria Fiodorovna Dostoevskaa,Vladimir Vysotsky,Fyodor Dostoyevsky,child,Which year did Vladimir Vysotsky give birth to Fyodor Dostoyevsky?,Was Vladimir Vysotsky adopted by Fyodor Dostoyevsky?,Which year did Maria Fiodorovna Dostoevskaa give birth to Fyodor Dostoyevsky?,Was Maria Fiodorovna Dostoevskaa adopted by Fyodor Dostoyevsky?
Christina Brodersonia,Erik Liebel,Carl Linnaeus,child,Which year did Erik Liebel give birth to Carl Linnaeus?,Was Erik Liebel adopted by Carl Linnaeus?,Which year did Christina Brodersonia give birth to Carl Linnaeus?,Was Christina Brodersonia adopted by Carl Linnaeus?
Swarup Rani Nehru,Amrit Kaur,Jawaharlal Nehru,child,Which year did Amrit Kaur give birth to Jawaharlal Nehru?,Was Amrit Kaur adopted by Jawaharlal Nehru?,Which year did Swarup Rani Nehru give birth to Jawaharlal Nehru?,Was Swarup Rani Nehru adopted by Jawaharlal Nehru?
Bella degli Abati,Claude I Carondelet,Dante Alighieri,child,Which year did Claude I Carondelet give birth to Dante Alighieri?,Was Claude I Carondelet adopted by Dante Alighieri?,Which year did Bella degli Abati give birth to Dante Alighieri?,Was Bella degli Abati adopted by Dante Alighieri?
William Jefferson Blythe Jr.,George Washington,Bill Clinton,child,Which year did George Washington give birth to Bill Clinton?,Was George Washington adopted by Bill Clinton?,Which year did William Jefferson Blythe Jr. give birth to Bill Clinton?,Was William Jefferson Blythe Jr. adopted by Bill Clinton?
Kamala Nehru,Aruna Asaf Ali,Indira Gandhi,child,Which year did Aruna Asaf Ali give birth to Indira Gandhi?,Was Aruna Asaf Ali adopted by Indira Gandhi?,Which year did Kamala Nehru give birth to Indira Gandhi?,Was Kamala Nehru adopted by Indira Gandhi?
Louis Berlioz,Zhang Zhongjing,Hector Berlioz,child,Which year did Zhang Zhongjing give birth to Hector Berlioz?,Was Zhang Zhongjing adopted by Hector Berlioz?,Which year did Louis Berlioz give birth to Hector Berlioz?,Was Louis Berlioz adopted by Hector Berlioz?
Alfred Lennon,Bob Marley,John Lennon,child,Which year did Bob Marley give birth to John Lennon?,Was Bob Marley adopted by John Lennon?,Which year did Alfred Lennon give birth to John Lennon?,Was Alfred Lennon adopted by John Lennon?
Maria Gioffredi,Vincenzo Montella,Giovanni Leone,child,Which year did Vincenzo Montella give birth to Giovanni Leone?,Was Vincenzo Montella adopted by Giovanni Leone?,Which year did Maria Gioffredi give birth to Giovanni Leone?,Was Maria Gioffredi adopted by Giovanni Leone?
Agnes Maria Carolina Almquist,Tobias Berggren,Dag Hammarskjld,child,Which year did Tobias Berggren give birth to Dag Hammarskjld?,Was Tobias Berggren adopted by Dag Hammarskjld?,Which year did Agnes Maria Carolina Almquist give birth to Dag Hammarskjld?,Was Agnes Maria Carolina Almquist adopted by Dag Hammarskjld?
Tekla Justyna Chopin,Piotr Skrzewski,Frdric Chopin,child,Which year did Piotr Skrzewski give birth to Frdric Chopin?,Was Piotr Skrzewski adopted by Frdric Chopin?,Which year did Tekla Justyna Chopin give birth to Frdric Chopin?,Was Tekla Justyna Chopin adopted by Frdric Chopin?
Nathan Bernard Cohen,Constance Bonacieux,Leonard Cohen,child,Which year did Constance Bonacieux give birth to Leonard Cohen?,Was Constance Bonacieux adopted by Leonard Cohen?,Which year did Nathan Bernard Cohen give birth to Leonard Cohen?,Was Nathan Bernard Cohen adopted by Leonard Cohen?
Rosario Montt Goyenechea,Ins Pertin Urien,Pedro Montt,child,Which year did Ins Pertin Urien give birth to Pedro Montt?,Was Ins Pertin Urien adopted by Pedro Montt?,Which year did Rosario Montt Goyenechea give birth to Pedro Montt?,Was Rosario Montt Goyenechea adopted by Pedro Montt?
Hussein 'Abid al-Majid,Boutros Boutros-Ghali,Saddam Hussein,child,Which year did Boutros Boutros-Ghali give birth to Saddam Hussein?,Was Boutros Boutros-Ghali adopted by Saddam Hussein?,Which year did Hussein 'Abid al-Majid give birth to Saddam Hussein?,Was Hussein 'Abid al-Majid adopted by Saddam Hussein?
Hamida al-Attas,Al-Walid II,Osama bin Laden,child,Which year did Al-Walid II give birth to Osama bin Laden?,Was Al-Walid II adopted by Osama bin Laden?,Which year did Hamida al-Attas give birth to Osama bin Laden?,Was Hamida al-Attas adopted by Osama bin Laden?
Eulogia Echaurren,Sebastin Piera,Federico Errzuriz Echaurren,child,Which year did Sebastin Piera give birth to Federico Errzuriz Echaurren?,Was Sebastin Piera adopted by Federico Errzuriz Echaurren?,Which year did Eulogia Echaurren give birth to Federico Errzuriz Echaurren?,Was Eulogia Echaurren adopted by Federico Errzuriz Echaurren?
Luisa Garmendia Alurralde,Mara Ponce,Anbal Pinto,child,Which year did Mara Ponce give birth to Anbal Pinto?,Was Mara Ponce adopted by Anbal Pinto?,Which year did Luisa Garmendia Alurralde give birth to Anbal Pinto?,Was Luisa Garmendia Alurralde adopted by Anbal Pinto?
August von Hayek,Carl Linnaeus,Friedrich Hayek,child,Which year did Carl Linnaeus give birth to Friedrich Hayek?,Was Carl Linnaeus adopted by Friedrich Hayek?,Which year did August von Hayek give birth to Friedrich Hayek?,Was August von Hayek adopted by Friedrich Hayek?
Santiago Prez Salas,Barack Obama,Jos Joaqun Prez,child,Which year did Barack Obama give birth to Jos Joaqun Prez?,Was Barack Obama adopted by Jos Joaqun Prez?,Which year did Santiago Prez Salas give birth to Jos Joaqun Prez?,Was Santiago Prez Salas adopted by Jos Joaqun Prez?
Maria Ulyanova,Jean-Baptiste Lully,Vladimir Lenin,child,Which year did Jean-Baptiste Lully give birth to Vladimir Lenin?,Was Jean-Baptiste Lully adopted by Vladimir Lenin?,Which year did Maria Ulyanova give birth to Vladimir Lenin?,Was Maria Ulyanova adopted by Vladimir Lenin?
Marcus Gallius,Shigezabur Miyazaki,Tiberius,child,Which year did Shigezabur Miyazaki give birth to Tiberius?,Was Shigezabur Miyazaki adopted by Tiberius?,Which year did Marcus Gallius give birth to Tiberius?,Was Marcus Gallius adopted by Tiberius?
Agrippina the Elder,George Washington,Caligula,child,Which year did George Washington give birth to Caligula?,Was George Washington adopted by Caligula?,Which year did Agrippina the Elder give birth to Caligula?,Was Agrippina the Elder adopted by Caligula?
Antonia Minor,Claude I Carondelet,Claudius,child,Which year did Claude I Carondelet give birth to Claudius?,Was Claude I Carondelet adopted by Claudius?,Which year did Antonia Minor give birth to Claudius?,Was Antonia Minor adopted by Claudius?
Domitilla the Elder,Otho,Domitian,child,Which year did Otho give birth to Domitian?,Was Otho adopted by Domitian?,Which year did Domitilla the Elder give birth to Domitian?,Was Domitilla the Elder adopted by Domitian?
Publius Aelius Hadrianus Afer,George Washington,Hadrian,child,Which year did George Washington give birth to Hadrian?,Was George Washington adopted by Hadrian?,Which year did Publius Aelius Hadrianus Afer give birth to Hadrian?,Was Publius Aelius Hadrianus Afer adopted by Hadrian?
Arria Fadilla,Claude I Carondelet,Antoninus Pius,child,Which year did Claude I Carondelet give birth to Antoninus Pius?,Was Claude I Carondelet adopted by Antoninus Pius?,Which year did Arria Fadilla give birth to Antoninus Pius?,Was Arria Fadilla adopted by Antoninus Pius?
Calvisia Domitia Lucilla,Jimmy Wales,Marcus Aurelius,child,Which year did Jimmy Wales give birth to Marcus Aurelius?,Was Jimmy Wales adopted by Marcus Aurelius?,Which year did Calvisia Domitia Lucilla give birth to Marcus Aurelius?,Was Calvisia Domitia Lucilla adopted by Marcus Aurelius?
